CÓDIGO;UNIDADE;TÍTULO;ÁREA DE CONHECIMENTO;VINCULAÇÃO;FINANCIADO;PASSA POR COMITÊ;PARTICIPAÇÃO;STATUS;DATA DE CADASTRO;PERÍODO DE VIGÊNCIA;
PI02305-2018;FACULDADE DE HISTORIA;A Multiplicidade dos tempos da História em K. Pomian;Ciências Humanas - História - Teoria e Filosofia da História;Com Programa de Pós-graduação da UFG;sim;não;EUGENIO REZENDE DE CARVALHO (DOCENTE - Coordenador);EM ANDAMENTO;02/05/2018;02/03/2018 a 01/03/2021;
PI03344-2018;INSTITUTO DE PATOLOGIA TROPICAL E SAUDE PUBLICA;Formulação de propágulos de fungos entomopatogênicos, e resposta imunológica de Rhipicephalus microplus à infecção fúngica;Ciências Biológicas - Parasitologia - Entomologia e Malacologia de Parasitos e Vetores, Ciências Agrárias - Medicina Veterinária - Medicina Veterinária Preventiva - Doenças Parasitárias de Animais;Tipo de vínculo desconhecido;sim;sim;ALLAN FELIPE MARCIANO (EXTERNO - Colaborador), ARTUR DE OLIVEIRA FRANCO (DISCENTE - Colaborador), BARBARA DE SOUZA LELES (DISCENTE - Colaborador), CAIO MARCIO DE OLIVEIRA MONTEIRO (DOCENTE - Colaborador), CÁRITA DE SOUZA RIBEIRO E SILVA (DISCENTE - Colaborador), DIANA DE LIMA BORGES (SERVIDOR - Colaborador), ELEN REGOZINO MUNIZ (DISCENTE - Colaborador), EVERTON KORT KAMP FERNANDES (DOCENTE - Coordenador), GABRIEL MOURA MASCARIN (EXTERNO - Colaborador), JULIANA MARQUES FERREIRA (DISCENTE - Colaborador), LIGIA MIRANDA FERREIRA BORGES (DOCENTE - Colaborador), LILIANA BORGES DE MENEZES LEITE (DOCENTE - Colaborador), LUCAS PRADO BARRETO (EXTERNO - Colaborador), MARCOS DANIEL FILGUEIRAS GOMES (DISCENTE - Colaborador), RENATO FELIPE FERREIRA FRANCO (DISCENTE - Colaborador), RICARDO NEVES MARRETO (DOCENTE - Colaborador), RONALDO ALVES PEREIRA JUNIOR (EXTERNO - Colaborador), SALORRANE MIRANDA DO NASCIMENTO PINTO (DISCENTE - Colaborador), VALESCA HENRIQUE LIMA (DISCENTE - Colaborador), VANIA RITA ELIAS PINHEIRO BITTENCOURT (EXTERNO - Colaborador), WELBER DANIEL ZANETTI LOPES (DOCENTE - Colaborador), WOLF CHRISTIAN LUZ (DOCENTE - Colaborador);EM ANDAMENTO;16/03/2019;01/09/2018 a 31/12/2022;
PI02331-2018;UNID. ACAD. ESP/CIENCIAS BIOLOGICAS-JA;Monitoramento de duas espécies de primatas na Floresta Nacional de Saracá-Taquera, Pará, com ênfase em áreas de recuperação florestal;Ciências Biológicas - Ecologia - Ecologia Aplicada;Sem Vínculo (Projeto Isolado);sim;não;FABIANO RODRIGUES DE MELO (DOCENTE - Coordenador);EM ANDAMENTO;29/03/2018;01/02/2018 a 29/02/2020;
PI02375-2018;INSTITUTO DE INFORMATICA;Emergent Systems for Smart Cities: An Approach based on Domain-Specific Middleware and Microservices;Ciências Exatas e da Terra - Ciência da Computação - Sistemas de Computação - Teleinformática;Tipo de vínculo desconhecido;sim;não;BARRY PORTER (EXTERNO - Vice-coodernador), BRUNO OLIVEIRA SILVESTRE (DOCENTE - Colaborador), DOUGLAS BERNARDES SILVA (DISCENTE - Colaborador), FABIO MOREIRA COSTA (DOCENTE - Coordenador), IWENS GERVASIO SENE JUNIOR (DOCENTE - Colaborador), MÁRCIO PEREIRA DE SÁ (DISCENTE - Colaborador), PAULO CESAR FERREIRA MELO (DISCENTE - Colaborador), SERGIO TEIXEIRA DE CARVALHO (DOCENTE - Colaborador);EM ANDAMENTO;09/04/2018;16/03/2018 a 15/12/2020;
PI02824-2018;INSTITUTO DE INFORMATICA;BrailleÈcran: uma ferramenta para suporte à entrada de texto com Braille em telas Sensíveis ao toque;Ciências Exatas e da Terra - Ciência da Computação - Sistemas de Computação, Ciências Humanas - Educação - Ensino-Aprendizagem - Métodos e Técnicas de Ensino;Com Programa de Pós-graduação da UFG;sim;não;AARON QUIGLEY (EXTERNO - Colaborador), FABRIZZIO ALPHONSUS ALVES DE MELO NUNES SOARES (DOCENTE - Coordenador), HUGO ALEXANDRE DANTAS DO NASCIMENTO (DOCENTE - Vice-coodernador), MARIA BETHANIA SARDEIRO DOS SANTOS (DOCENTE - Colaborador), MARILIA DE GOYAZ (DOCENTE - Colaborador), MATEUS MACHADO LUNA (DISCENTE - Colaborador), VANESSA HELENA SANTANA DALLA DEA (DOCENTE - Colaborador);EM ANDAMENTO;13/08/2018;02/07/2018 a 02/07/2023;
PI02444-2018;INSTITUTO DE PATOLOGIA TROPICAL E SAUDE PUBLICA;Avaliação de fatores que impactam na incidência de recidivas de leishmaniose tegumentar americana ou leishmaniose visceral em pacientes co-infectados com o vírus da imunodeficiência humana;Ciências Biológicas - Imunologia - Imunologia Aplicada;Sem Vínculo (Projeto Isolado);sim;sim;ANA JOAQUINA COHEN SERIQUE PEREIRA (EXTERNO - Colaborador), FATIMA RIBEIRO DIAS (DOCENTE - Coordenador), JOAO PAULO ARAUJO FERREIRA (DISCENTE - Colaborador), LEDICE INACIA DE ARAUJO PEREIRA (DOCENTE - Colaborador), LUIZ CARLOS SILVA SOUZA (EXTERNO - Colaborador), MIRIAM CRISTINA LEANDRO (DOCENTE - Colaborador), MURIEL VILELA TEODORO SILVA (DISCENTE - Colaborador), SEBASTIAO ALVES PINTO (DOCENTE - Colaborador), SIMONE GONCALVES DA FONSECA (DOCENTE - Colaborador), VALÉRIA BERNADETE LEITE QUIXABEIRA (DISCENTE - Colaborador);EM ANDAMENTO;23/04/2018;01/04/2018 a 30/11/2020;
PI02982-2018;INSTITUTO DE CIENCIAS BIOLOGICAS;Avaliação morfológica dos efeitos da crisina sobre o desenvolvimento pré-natal da próstata de gerbilos;Ciências Biológicas - Morfologia - Histologia;Com Programa de Pós-graduação da UFG;sim;sim;FERNANDA CRISTINA ALCANTARA DOS SANTOS (DOCENTE - Coordenador), MANOEL FRANCISCO BIANCARDI (DOCENTE - Vice-coodernador), MARA RUBIA MARQUES (DOCENTE - Colaborador), MONICA SOUSA CAMPOS (SERVIDOR - Colaborador), NAIARA CRISTINA DE SOUZA RIBEIRO (DISCENTE - Colaborador), PAULO CESAR GHEDINI (DOCENTE - Colaborador), THAIS DE SOUZA BOVI (EXTERNO - Colaborador);EXCLUÍDO;20/11/2018;12/11/2018 a 30/09/2022;
PI02298-2018;UAE - DE ENGENHARIA - CATALÃO;FORMULAÇÕES DO MEC OU ACOPLAMENTO MEC/MEF PARA MODELAGEM MULTI-ESCALA DE PLACAS HETEROGÊNEAS;Engenharias - Engenharia Civil - Estruturas - Mecânica das Estruturas;Com Programa de Pós-Graduação de Outra IES;sim;não;EDUARDO ALBERTO DE SOUZA NETO (EXTERNO - Colaborador), GABRIELA REZENDE FERNANDES (DOCENTE - Coordenador), JOSE JULIO DE CERQUEIRA PITUBA (DOCENTE - Colaborador), MARIA JÚLIA MARQUES SILVA (DISCENTE - Colaborador);EM ANDAMENTO;20/03/2018;01/03/2018 a 28/02/2021;
PI02544-2018;INSTITUTO DE QUIMICA;Dispositivos microfluídicos descartáveis para diagnóstico molecular no point-of-care.;Ciências Exatas e da Terra - Química - Química Analítica - Instrumentação Analítica;Sem Vínculo (Projeto Isolado);sim;não;ALEXANDRE MELO BAILAO (DOCENTE - Colaborador), GABRIELA RODRIGUES MENDES DUARTE (DOCENTE - Coordenador), GEOVANA DE MELO MENDES (DISCENTE - Colaborador), KEZIA GOMES DE OLIVEIRA (DISCENTE - Colaborador), PAULO FELIPE NEVES ESTRELA (DISCENTE - Colaborador), RENATA PEREIRA BATISTA (DISCENTE - Colaborador), WENDELL KARLOS TOMAZELLI COLTRO (DOCENTE - Colaborador);EM ANDAMENTO;26/04/2018;12/03/2018 a 11/03/2020;
PI03060-2018;FACULDADE DE CIÊNCIAS E TECNOLOGIA;Empresa Júnior do Curso de Engenharia de Transportes da FCT/UFG;Engenharias - Engenharia Civil - Infra-Estrutura de Transportes, Engenharias - Engenharia de Transportes;Sem Vínculo (Projeto Isolado);sim;não;ANTONIO CARLOS HANIG (DISCENTE - Colaborador), DANIELE SOUSA DE ALMEIDA (DISCENTE - Colaborador), GEORGE WILTON ALBUQUERQUE RANGEL (DOCENTE - Coordenador), GIANCARLO PINHEIRO DE ABREU (DISCENTE - Colaborador), JANAYNA CRUZ DE SOUZA VIEIRA (DISCENTE - Colaborador), JOAO PAULO BATISTA DE SOUSA (DISCENTE - Colaborador), JOHN HEBERTY DE FREITAS (DISCENTE - Colaborador), KAMILLA CRUVINEL RODRIGUES (DISCENTE - Colaborador), PAULO DE TARSO GONÇALVES SOUSA JÚNIOR (DISCENTE - Colaborador);EXCLUÍDO;03/12/2018;01/10/2018 a 01/10/2030;
PI02756-2018;PRÓ REITORIA DE PESQUISA E INOVAÇÃO;Estímulo ao Empreendedorismo e à Inovação no Estado de Goiás;Outras - Multidisciplinar;Tipo de vínculo desconhecido;sim;não;ALESSANDRA CRISTINA GOMES (DISCENTE - Colaborador), EMILIA ROSANGELA PIRES DA SILVA FRANCO (DISCENTE - Colaborador), HELENA CARASEK CASCUDO (DOCENTE - Coordenador), IURI VAZ MIRANDA (DISCENTE - Colaborador), JESIEL FREITAS CARVALHO (DOCENTE - Vice-coodernador), JÉSSICA BORGES DE CARVALHO (DISCENTE - Colaborador), JOAO TEODORO PADUA (DOCENTE - Colaborador), LUIZMAR ADRIANO JUNIOR (SERVIDOR - Colaborador), LYZYÊ INÁCIO ALMEIDA (SERVIDOR - Colaborador), REJANE FARIA RIBEIRO ROTTA (DOCENTE - Colaborador);EM ANDAMENTO;27/06/2018;26/06/2018 a 31/12/2020;
PI02758-2018;PRÓ REITORIA DE PESQUISA E INOVAÇÃO;INCENTIVO À CRIAÇÃO DE NOVAS SOLUÇÕES TECNOLÓGICAS EM SAÚDE PÚBLICA;Outras - Tecnologia e Inovação;Sem Vínculo (Projeto Isolado);sim;não;ALESSANDRA CRISTINA GOMES (DISCENTE - Colaborador), EMILIA ROSANGELA PIRES DA SILVA FRANCO (DISCENTE - Colaborador), HELENA CARASEK CASCUDO (DOCENTE - Coordenador), JESIEL FREITAS CARVALHO (DOCENTE - Vice-coodernador), JÉSSICA BORGES DE CARVALHO (DISCENTE - Colaborador), JOAO TEODORO PADUA (DOCENTE - Colaborador), JULIANA CARLA DALLA ROSA (SERVIDOR - Colaborador), LUIZMAR ADRIANO JUNIOR (SERVIDOR - Colaborador), LYZYÊ INÁCIO ALMEIDA (SERVIDOR - Colaborador), REJANE FARIA RIBEIRO ROTTA (DOCENTE - Colaborador);EM ANDAMENTO;28/06/2018;26/06/2018 a 31/12/2019;
PI02541-2018;FACULDADE DE ENFERMAGEM;Avaliação da influência da temperatura da solução fisiológica na cicatrização de  feridas excisionais em ratos wistar;Ciências Biológicas - Imunologia, Ciências da Saúde - Enfermagem - Enfermagem Médico-Cirúrgica;Tipo de vínculo desconhecido;sim;sim;FATIMA RIBEIRO DIAS (DOCENTE - Colaborador), GUILHERME ALBUQUERQUE SAMPAIO (DISCENTE - Colaborador), HELIO GALDINO JUNIOR (DOCENTE - Coordenador), JAQUELINE EVANGELISTA DA COSTA BEZERRA (SERVIDOR - Colaborador), LAIS LARA SILVA XAVIER (DISCENTE - Colaborador), MARIA MARCIA BACHION (DOCENTE - Colaborador), RUY DE SOUZA LINO JUNIOR (DOCENTE - Vice-coodernador), SILVANA DE LIMA VIEIRA DOS SANTOS (DOCENTE - Colaborador), VALERIA PAGOTTO (DOCENTE - Colaborador);EM ANDAMENTO;26/04/2018;26/04/2018 a 31/12/2021;
PV02816-2018;FACULDADE DE CIENCIAS SOCIAIS;Centro de Ciência e Tecnologia em Soberania e Segurança Alimentar e  Nutricional da Região Centro-Oeste  ;Ciências Humanas - Antropologia - Teoria Antropológica;Com Grupo de Pesquisa;sim;não;ANDREA SUGAI MORTOZA (DOCENTE - Colaborador), CAROLINA CANDIDA DE QUEIROZ BRITO CUNHA (DISCENTE - Colaborador), CLAUDIA PEIXOTO CABRAL (DISCENTE - Colaborador), EGRIMONT WAGNER TEIXEIRA NETO (DISCENTE - Colaborador), FABÍOLA RIBEIRO DUARTE (DISCENTE - Colaborador), FILIPE AUGUSTO COUTO BARBOSA (DISCENTE - Colaborador), GABRIEL SULINO MARTINS (DISCENTE - Colaborador), GUSTAVO ALVES SILVEIRA (SERVIDOR - Colaborador), JANINE HELFST LEICHT COLLACO (DOCENTE - Coordenador), KATIA KARAM TORALLES (DISCENTE - Colaborador), LARISSA DE FARIAS ALVES (DISCENTE - Colaborador), MARLON HENRIQUE COSTA DE CASTRO (DISCENTE - Colaborador), OSMAR LUCIO CUSTODIO (DISCENTE - Colaborador), TALITA PRADO BARBOSA ROIM (EXTERNO - Vice-coodernador), TIAGO MIGUEL JÁCOMO (DISCENTE - Colaborador), VERUSKA PRADO ALEXANDRE WEISS (DOCENTE - Colaborador);EM ANDAMENTO;13/08/2018;30/06/2018 a 31/07/2021;
PI02804-2018;PRÓ REITORIA DE PESQUISA E INOVAÇÃO;Projeto IPÊ  Ideias, Prototipagem e Empreendedorismo;Outras - Tecnologia e Inovação, Outras - Multidisciplinar;Sem Vínculo (Projeto Isolado);sim;não;HELENA CARASEK CASCUDO (DOCENTE - Colaborador), JESIEL FREITAS CARVALHO (DOCENTE - Coordenador), JOAO TEODORO PADUA (DOCENTE - Colaborador), LUIZMAR ADRIANO JUNIOR (SERVIDOR - Vice-coodernador), REJANE FARIA RIBEIRO ROTTA (DOCENTE - Colaborador);EM ANDAMENTO;25/07/2018;25/07/2018 a 24/07/2023;
PI03230-2018;FACULDADE DE CIENCIAS SOCIAIS;Trabalho, música e profissionalismo: da performance à agenda cultural;Ciências Humanas - Sociologia - Outras Sociologias Específicas;Com Programa de Pós-graduação da UFG;sim;não;JORDAO HORTA NUNES (DOCENTE - Coordenador);EM ANDAMENTO;31/01/2019;28/11/2018 a 28/02/2021;
PI03255-2018;FACULDADE DE CIENCIAS SOCIAIS;Trabalho, música e profissionalismo: da performance à agência cultural;Ciências Humanas - Sociologia - Outras Sociologias Específicas;Com Programa de Pós-graduação da UFG;sim;não;JORDAO HORTA NUNES (DOCENTE - Coordenador);EXCLUÍDO;31/01/2019;01/03/2018 a 28/02/2020;
PI02805-2018;FACULDADE DE CIÊNCIAS E TECNOLOGIA;CARBLAB - Geoquímica, Microscopia, Mineralogia, Petrofísica, Sistemas Porosos e Análises Hidromecânicas/Geomecânicas;Ciências Exatas e da Terra - Geociências - Geologia - Mineralogia, Ciências Exatas e da Terra - Geociências - Geologia - Petrologia, Ciências Exatas e da Terra - Geociências - Geologia - Sedimentologia;Sem Vínculo (Projeto Isolado);sim;não;CECILIA MARIA ALVES DE OLIVEIRA (DOCENTE - Colaborador), JESIEL FREITAS CARVALHO (DOCENTE - Colaborador), JOSE AFFONSO BROD (DOCENTE - Coordenador);PENDENTE;26/07/2018;01/09/2018 a 31/08/2022;
PV02458-2018;ESCOLA DE AGRONOMIA;CALIBRAÇÃO DO ALGORITIMO SAFER (IMAGENS LANDSAT 8 E VANT) para estimativa da EVAPOTRANSPIRAÇÃO Das CULTURAs de soja, milho, feijão e tomate industrial no cerrado goiano;Ciências Agrárias - Engenharia Agrícola - Engenharia de Água e Solo - Irrigação e Drenagem;Com Grupo de Pesquisa;sim;não;ADAO WAGNER PEGO EVANGELISTA (DOCENTE - Vice-coodernador), ALISSON NEVES HARMYANS MOREIRA (DOCENTE - Colaborador), DERBLAI CASAROLI (DOCENTE - Colaborador), JOSE ALVES JUNIOR (DOCENTE - Coordenador), MANUEL EDUARDO FERREIRA (DOCENTE - Colaborador), MARCIO MESQUITA (DOCENTE - Colaborador), NORI PAULO GRIEBELER (DOCENTE - Colaborador), RAFAEL BATTISTI (DOCENTE - Colaborador), RILNER ALVES FLORES (DOCENTE - Colaborador);EM ANDAMENTO;20/04/2018;01/01/2018 a 31/12/2020;
PV02461-2018;ESCOLA DE AGRONOMIA;Manejo de Irrigação da Cultura de Tomate Industrial no Estado de Goiás;Ciências Agrárias - Engenharia Agrícola - Engenharia de Água e Solo - Irrigação e Drenagem;Com Grupo de Pesquisa;sim;não;ABADIA DOS REIS NASCIMENTO (DOCENTE - Colaborador), ADAO WAGNER PEGO EVANGELISTA (DOCENTE - Colaborador), DERBLAI CASAROLI (DOCENTE - Vice-coodernador), JOSE ALVES JUNIOR (DOCENTE - Coordenador), MARCIO MESQUITA (DOCENTE - Colaborador), RAFAEL BATTISTI (DOCENTE - Colaborador);EM ANDAMENTO;20/04/2018;01/01/2018 a 31/12/2020;
PI02629-2018;FACULDADE DE CIÊNCIAS E TECNOLOGIA;GEODIVERSIDADES, INTERAÇÕES E IMPACTOS SOCIOAMBIENTAIS NO SISTEMA PRAIA-PLATAFORMA DA COSTA OESTE DO ESTADO DO CEARÁ      ;Ciências Exatas e da Terra - Geociências - Geologia - Sedimentologia;Com Programa de Pós-Graduação de Outra IES;sim;não;DANIEL BEZERRA DAS CHAGAS (DOCENTE - Colaborador), FERNANDA MACIEL CANILE (DOCENTE - Colaborador), ISABELA ARAUJO BARBOSA (DISCENTE - Colaborador), JADER ONOFRE DE MORAES (EXTERNO - Vice-coodernador), JOAO PAULO SILVA LIMA (DOCENTE - Colaborador), JOSE DE ARAUJO NOGUEIRA NETO (DOCENTE - Coordenador), MARCO TULIO GUIMARAES (DISCENTE - Colaborador), NEANDER NICANOR ALVES RODOVALHO (SERVIDOR - Colaborador), TULIO MOREIRA DE ASSIS (DISCENTE - Colaborador);EM ANDAMENTO;29/04/2018;26/04/2018 a 26/04/2019;
PV02302-2018;UAE - DE ENGENHARIA - CATALÃO;NP2ME-Núcleo de Pesquisa em Modelagem de Materiais e Estruturas;Engenharias - Engenharia Civil - Estruturas - Mecânica das Estruturas;Com Grupo de Pesquisa;sim;não;DOMINGOS LOPES DA SILVA JUNIOR (DOCENTE - Colaborador), GABRIELA REZENDE FERNANDES (DOCENTE - Vice-coodernador), GEOVANA ALVES RIBEIRO (DISCENTE - Colaborador), JOSE JULIO DE CERQUEIRA PITUBA (DOCENTE - Coordenador), MARCELO HENRIQUE STOPPA (DOCENTE - Colaborador), PAULO EDUARDO GONCALVES DE ASSIS (DOCENTE - Colaborador), PETRUS HENRIQUE RIBEIRO DOS ANJOS (DOCENTE - Colaborador), THIAGO ALVES DE QUEIROZ (DOCENTE - Colaborador), WANDERLEI MALAQUIAS PEREIRA JUNIOR (DISCENTE - Colaborador), WANDERSON FERREIRA DOS SANTOS (DISCENTE - Colaborador), WELLINGTON ANDRADE DA SILVA (DOCENTE - Colaborador);EM ANDAMENTO;21/03/2018;01/03/2018 a 31/03/2021;
PI02979-2018;ESCOLA DE AGRONOMIA;AVALIAÇÃO DE INSUMOS AGRÍCOLAS E ASSESSORIA EM EXPERIMENTAÇÃO AGRÍCOLA COM TESTES DE PRODUTOS DIVERSOS;Ciências Agrárias - Agronomia - Ciência do Solo - Fertilidade do Solo e Adubação;Sem Vínculo (Projeto Isolado);sim;não;JUAREZ PATRICIO DE OLIVEIRA JUNIOR (DOCENTE - Coordenador);EM ANDAMENTO;11/03/2019;01/06/2013 a 31/12/2022;
;FACULDADE DE EDUCACAO;Expansão das universidades federais no Brasil 1995-2014: processos, continuidade e rupturas;Ciências Humanas - Educação - Planejamento e Avaliação Educacional - Política Educacional;Com Grupo de Pesquisa;sim;não;KARINE NUNES DE MORAES (DOCENTE - Coordenador);GRAVADO;22/03/2018;02/01/2018 a 31/12/2021;
PI02831-2018;ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL;PLANOS DE RECURSOS HÍDRICOS DAS UNIDADES DE PLANEJAMENTO E GESTÃO DE RECURSOS HÍDRICOS  AFLUENTES AO RIO PARANAÍBA DO ESTADO DE GOIÁS;Engenharias - Engenharia Civil - Engenharia Hidráulica - Hidráulica, Engenharias - Engenharia Civil - Engenharia Hidráulica - Hidrologia, Engenharias - Engenharia Sanitária - Recursos Hídricos - Planejamento Integrado dos Recursos Hídricos;Com Programa de Pós-graduação da UFG;sim;não;DENILSON TEIXEIRA (DOCENTE - Colaborador), DIRCEU SCARATTI (EXTERNO - Colaborador), HUGO JOSÉ RIBEIRO (DOCENTE - Colaborador), HUMBERTO CARLOS RUGGERI JUNIOR (DOCENTE - Colaborador), JOEL ROBERTO GUIMARAES VASCO (DOCENTE - Colaborador), JUSSANA MILOGRANA CORTES (EXTERNO - Colaborador), KARLA ALCIONE DA SILVA CRUVINEL (DOCENTE - Vice-coodernador), KARLA EMMANUELA RIBEIRO HORA (DOCENTE - Vice-coodernador), KLEBBER TEODOMIRO MARTINS FORMIGA (DOCENTE - Coordenador), LUANA MIRANDA ESPER KALLAS (DOCENTE - Vice-coodernador), LUÍZA VIRGÍNIA DUARTE (DISCENTE - Colaborador), NILSON CLEMENTINO FERREIRA (DOCENTE - Vice-coodernador), RODRIGO DE ALMEIDA HERINGER (DOCENTE - Colaborador), TOMAS DA ROSA SIMOES (SERVIDOR - Colaborador), WELLINGTON NUNES DE OLIVEIRA (DOCENTE - Colaborador);EM ANDAMENTO;17/08/2018;06/08/2018 a 05/08/2023;
PI02173-2018;INSTITUTO DE ESTUDOS SOCIO-AMBIENTAIS;NextGenMap;Ciências Exatas e da Terra - Geociências - Geofísica - Sensoriamento Remoto;Sem Vínculo (Projeto Isolado);sim;não;EVANDRO CARRIJO TAQUARY (DISCENTE - Colaborador), LAERTE GUIMARAES FERREIRA JUNIOR (DOCENTE - Coordenador), LEANDRO LEAL PARENTE (DISCENTE - Colaborador), ROBERTO DE URZEDA PAIVA (SERVIDOR - Colaborador);EM ANDAMENTO;30/01/2018;01/01/2018 a 01/03/2019;
PI02743-2018;PRÓ REITORIA DE PÓS-GRADUAÇÃO;A PÓS-GRADUAÇÃO LATO SENSU NA UNIVERSIDADE FEDERAL DE GOIÁS:   gestão institucional e critérios de avaliação de qualidade   ;Ciências Humanas - Sociologia - Outras Sociologias Específicas;Sem Vínculo (Projeto Isolado);sim;não;ALINE SANTOS LEITE MEDRADO (SERVIDOR - Vice-coodernador), LAERTE GUIMARAES FERREIRA JUNIOR (DOCENTE - Coordenador);EM ANDAMENTO;15/06/2018;15/06/2018 a 30/12/2021;
PI02807-2018;PRÓ REITORIA DE PÓS-GRADUAÇÃO;Geração de resultados e sínteses referentes ao mapeamento e monitoramento das pastagens brasileiras ;Ciências Exatas e da Terra - Geociências - Geofísica - Sensoriamento Remoto;Sem Vínculo (Projeto Isolado);sim;não;LAERTE GUIMARAES FERREIRA JUNIOR (DOCENTE - Coordenador), LEANDRO LEAL PARENTE (DISCENTE - Colaborador), ROBERTO DE URZEDA PAIVA (SERVIDOR - Colaborador);EM ANDAMENTO;30/07/2018;31/08/2018 a 01/07/2021;
PI02175-2018;INSTITUTO DE ESTUDOS SOCIO-AMBIENTAIS;Conteúdos Geográficos nas escalas local/regional, no contexto do exame nacional do ensino médio (ENEM);Ciências Humanas - Geografia - Geografia Humana - Geografia Urbana;Tipo de vínculo desconhecido;sim;não;CELENE CUNHA MONTEIRO A BARREIRA (DOCENTE - Colaborador), DENIS CASTILHO (DOCENTE - Colaborador), KAMILA SANTOS DE PAULA RABELO (DOCENTE - Colaborador), KARLA ANNYELLY TEIXEIRA DE OLIVEIRA (DOCENTE - Colaborador), LANA DE SOUZA CAVALCANTI (DOCENTE - Coordenador), LUCINEIDE MENDES PIRES E SILVA (EXTERNO - Colaborador), MARIA EDUARDA ANDRADE DE FARIA (DISCENTE - Colaborador), VANILTON CAMILO DE SOUZA (DOCENTE - Colaborador);EM ANDAMENTO;01/02/2018;18/01/2018 a 31/08/2020;
;INSTITUTO DE CIENCIAS BIOLOGICAS;Avaliação das atividades genotóxica, angiogênica, antiangiogênica dos imunossupressores Azatioprina e Prednisona e sua influência na expressão de proteínas relacionadas com proliferação celular, reparo, controle do ciclo celular e apoptose;Ciências Biológicas - Genética;Com Programa de Pós-graduação da UFG;sim;não;ABEL VIEIRA DE MELO BISNETO (DISCENTE - Colaborador), CLEVER GOMES CARDOSO (DOCENTE - Colaborador), ELISA FLAVIA LUIZ CARDOSO BAILAO (DOCENTE - Colaborador), JEFFERSON HOLLANDA VÉRAS (EXTERNO - Colaborador), LEE CHEN CHEN (DOCENTE - Coordenador), LUANA SANTOS SILVA (DISCENTE - Colaborador), PAULO CESAR GHEDINI (DOCENTE - Colaborador);EXCLUÍDO;20/04/2018;05/04/2018 a 31/12/2020;
PI02465-2018;INSTITUTO DE CIENCIAS BIOLOGICAS;Avaliação das atividades genotóxica, angiogênica, antiangiogênica dos imunossupressores Azatioprina e Prednisona e sua influência na expressão de proteínas relacionadas com proliferação celular, reparo, controle do ciclo celular e apoptose;Ciências Biológicas - Genética;Com Programa de Pós-graduação da UFG;sim;não;ABEL VIEIRA DE MELO BISNETO (DISCENTE - Colaborador), CLEVER GOMES CARDOSO (DOCENTE - Colaborador), ELISA FLAVIA LUIZ CARDOSO BAILAO (DOCENTE - Colaborador), LEE CHEN CHEN (DOCENTE - Coordenador), LUANA SANTOS SILVA (DISCENTE - Colaborador), PAULO CESAR GHEDINI (DOCENTE - Colaborador), SARA CRISTINA PUGA (EXTERNO - Colaborador);EXCLUÍDO;25/04/2018;01/04/2018 a 30/03/2020;
PI03648-2018;INSTITUTO DE CIENCIAS BIOLOGICAS;Bioprospecção e desenvolvimento de produtos a base de microrganismo;Ciências Agrárias - Agronomia - Fitossanidade - Microbiologia Agrícola;Tipo de vínculo desconhecido;sim;não;ALINE MARIA DE OLIVEIRA SOUSA (DISCENTE - Colaborador), BONIEK GONTIJO VAZ (DOCENTE - Colaborador), DIEGO ARMANDO DA SILVA COSTA (DISCENTE - Colaborador), EDEMILSON CARDOSO DA CONCEICAO (DOCENTE - Colaborador), FABRICIA PAULA DE FARIA (DOCENTE - Colaborador), GABRIELA SANTOS SILVA (DISCENTE - Colaborador), ISAQUE DIAS DOS SANTOS (DISCENTE - Colaborador), JANAÍNA ALVES DE ALMEIDA MOREIRA (DISCENTE - Colaborador), JEFTÉ BARBOSA SILVA (DISCENTE - Colaborador), JOAO PEDRO ALMEIDA PINTO (DISCENTE - Colaborador), LEILA GARCES DE ARAUJO (DOCENTE - Coordenador), LUCILIA KATO (DOCENTE - Colaborador), MARA RUBIA DA ROCHA (DOCENTE - Colaborador), PAULO ROBERTO FARIA (SERVIDOR - Colaborador), RODRIGO SANTOS JARDIM (DISCENTE - Colaborador), ROSALIA SANTOS AMORIM JESUINO (DOCENTE - Colaborador), VANESSA GISELE PASQUALOTTO SEVERINO (DOCENTE - Colaborador);EM ANDAMENTO;08/04/2019;05/11/2018 a 05/12/2028;
PI02587-2018;UNID. ACAD. ESP/CIENCIAS BIOLOGICAS-JA;Impacto da mudança climática e conservação de espécies da fauna e da flora ameaçadas e deficientes em dados no Cerrado.;Ciências Biológicas - Ecologia - Ecologia Teórica;Sem Vínculo (Projeto Isolado);sim;não;CLEITON JOSÉ COSTA SANTOS (DISCENTE - Colaborador), DANIEL DE BRITO CANDIDO DA SILVA (DOCENTE - Colaborador), FREDERICO AUGUSTO GUIMARAES GUILHERME (DOCENTE - Colaborador), LEVI CARINA TERRIBILE (DOCENTE - Coordenador), MARLON ZORTEA (DOCENTE - Colaborador), MATHEUS DE SOUZA LIMA RIBEIRO (DOCENTE - Colaborador);EM ANDAMENTO;30/04/2018;12/03/2018 a 11/03/2021;
