CÓDIGO;UNIDADE;TÍTULO;ÁREA DE CONHECIMENTO;VINCULAÇÃO;FINANCIADO;PASSA POR COMITÊ;PARTICIPAÇÃO;STATUS;DATA DE CADASTRO;PERÍODO DE VIGÊNCIA;
PI03045-2018;UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATA;IDENTIFICAÇÃO DOS FATORES DE RISCO PARA O DESENVOLVIMENTO DE TROMBOEMBOLISMO VENOSO EM ESTUDANTES UNIVERSITÁRIAS;Ciências da Saúde - Saúde Coletiva - Saúde Pública;Sem Vínculo (Projeto Isolado);não;sim;DANIEL CORTES BERETTA (DOCENTE - Coordenador), EFFILLEY FERNANDA MARTINS REZENDE (EXTERNO - Colaborador), NARA NAYANE NERY BARROSO (DISCENTE - Colaborador), SABRINA TOFFOLI LEITE (DOCENTE - Vice-coodernador), VICTÓRIA HELYSSA DA COSTA PEREIRA (DISCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);30/11/2018;11/06/2018 a 28/02/2019;
PI03046-2018;UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATA;ALCOOLISMO NA UNIVERSIDADE  REALIDADES, INFLUÊNCIAS E CONSEQUÊNCIAS;Ciências da Saúde - Saúde Coletiva - Saúde Pública;Sem Vínculo (Projeto Isolado);não;sim;ACSA FRANCO RODRIGUES (DISCENTE - Colaborador), DANIEL CORTES BERETTA (DOCENTE - Coordenador), GABRIEL GOMES ASSIS FERREIRA (DISCENTE - Colaborador), GIOVANA FERNANDES SILVEIRA (DISCENTE - Colaborador), SABRINA TOFFOLI LEITE (DOCENTE - Vice-coodernador);EM ANDAMENTO (Documentos Conferidos);30/11/2018;11/06/2018 a 28/02/2019;
PI03072-2018;UNID. ACAD. ESP/MATEMATICA E TECNOLOGI;A TRANSFORMAÇÃO VETORIAL DE RIBAUCOUR PARA SUPERFÍCIES DE WEINGARTEN;Ciências Exatas e da Terra - Matemática - Geometria e Topologia - Geometria Diferencial;Tipo de vínculo desconhecido;não;não;DANIEL DA SILVEIRA GUIMARAES (DOCENTE - Coordenador);EM ANDAMENTO (Documentos Conferidos);04/12/2018;01/07/2018 a 01/08/2020;
PI02493-2018;ESCOLA DE ENGENHARIA ELÉTRICA, MECANICA E DE COMPUTACAO;Usinagem dos Metais;Engenharias - Engenharia Mecânica - Processos de Fabricação - Maquinas de Usinagem e Conformação;Sem Vínculo (Projeto Isolado);não;não;ADEMYR GONCALVES DE OLIVEIRA (DOCENTE - Colaborador), ANDREIA AOYAGUI NASCIMENTO (DOCENTE - Colaborador), ANDRE LUIZ CARNEIRO FRANCO (SERVIDOR - Colaborador), DANIEL FERNANDES DA CUNHA (DOCENTE - Coordenador), DEMOSTENES FERREIRA FILHO (DOCENTE - Colaborador), DIOGO APPEL COLVERO (SERVIDOR - Colaborador), DIOGO DE SOUZA RABELO (DOCENTE - Colaborador), FELIPE PAMPLONA MARIANO (DOCENTE - Colaborador), FLEIDE WILIAN RODRIGUES ALVES (SERVIDOR - Colaborador), GABRIELA ROCHA FRANCO (DISCENTE - Colaborador), JOAO BOSCO DA CUNHA (SERVIDOR - Colaborador), JOSE LUCIO GONCALVES JUNIOR (DOCENTE - Colaborador), KLEBER MENDES DE FIGUEIREDO (DOCENTE - Colaborador), LEONARDO DE QUEIROZ MOREIRA (DOCENTE - Colaborador), MARLIPE GARCIA FAGUNDES NETO (DOCENTE - Colaborador), SIGEO KITATANI JUNIOR (DOCENTE - Colaborador);EM ANDAMENTO;23/04/2018;01/05/2018 a 01/05/2022;
PI03281-2018;ESCOLA DE VETERINARIA E ZOOTECNIA;LIPIDOGRAMA EM CÃES: O JEJUM É REALMENTE NECESSÁRIO?;Ciências Agrárias - Medicina Veterinária - Patologia Animal - Patologia Clínica Animal;Com Programa de Pós-graduação da UFG;não;sim;AMANDA LUISA CARVALHO VIEIRA (DISCENTE - Colaborador), ANDRIELE FERREIRA QUALHATO (DISCENTE - Colaborador), DANIELI BROLO MARTINS (DOCENTE - Coordenador), DANIEL IRAÍ DOS SANTOS GOMES (DISCENTE - Colaborador), EDUARDO AVILA ANDRADE (DISCENTE - Colaborador), FABRICIO ROMULO CARDOSO DE CAMARGO (DISCENTE - Colaborador), GIULIA DE CASTRO SILVA (DISCENTE - Colaborador), HELOISA ALVIM RODRIGUES FRAGA (DISCENTE - Colaborador), JAIR MARTINS SANTIAGO NETO (DISCENTE - Colaborador), LUANA HERNANDEZ PUREZA (DISCENTE - Colaborador), MARIA CLORINDA SOARES FIORAVANTI (DOCENTE - Colaborador), MARIANNE DE JESUS SILVA PATRIARCA (DISCENTE - Colaborador), NADJANAIRA BARBOSA ABRÃO (DISCENTE - Colaborador), RENATO MARQUES TEIXEIRA DE SOUZA (DISCENTE - Colaborador), ROSANA DAMASCENO PIRES DOMICIANO (DISCENTE - Colaborador);EXCLUÍDO;18/02/2019;01/02/2018 a 01/02/2020;
PI03698-2018;ESCOLA DE VETERINARIA E ZOOTECNIA;LIPIDOGRAMA EM CÃES: O JEJUM É REALMENTE NECESSÁRIO?;Ciências Agrárias - Medicina Veterinária - Patologia Animal - Patologia Clínica Animal;Tipo de vínculo desconhecido;não;sim;AMANDA LUIZA SILVA (DISCENTE - Colaborador), ANDRIELE FERREIRA QUALHATO (DISCENTE - Colaborador), ANNA GABRIELA DA CRUZ SILVA (EXTERNO - Colaborador), CAROLINE STEGLICH RAMOS (SERVIDOR - Colaborador), DANIELI BROLO MARTINS (DOCENTE - Coordenador), EDUARDO AVILA ANDRADE (DISCENTE - Colaborador), FABRICIO ROMULO CARDOSO DE CAMARGO (DISCENTE - Colaborador), HELOISA ALVIM RODRIGUES FRAGA (DISCENTE - Colaborador), NADJANAIRA BARBOSA ABRÃO (DISCENTE - Colaborador), RAQUELI TERESINHA FRANÇA (EXTERNO - Vice-coodernador), ROSANA DAMASCENO PIRES DOMICIANO (DISCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);11/04/2019;17/12/2018 a 30/09/2020;
PI02715-2018;UNID. ACAD. ESP/CIENCIAS AGRARIAS-JATA;MÉTODOS PARA PROPAGAÇÃO DE FRUTEIRAS NO SUDOESTE GOIANO;Ciências Agrárias - Agronomia - Fitotecnia - Manejo e Tratos Culturais;Tipo de vínculo desconhecido;não;não;AMERICO NUNES DA SILVEIRA NETO (DOCENTE - Colaborador), ANA LAURA PEREIRA SOUZA (DISCENTE - Colaborador), CARLA GOMES MACHADO (DOCENTE - Colaborador), CECILIA DE CASTRO BOLINA (DOCENTE - Colaborador), CLAUDIO HIDEO MARTINS DA COSTA (DOCENTE - Colaborador), DANIELLE FABIOLA PEREIRA DA SILVA (DOCENTE - Coordenador), DARLY GERALDO DE SENA JUNIOR (DOCENTE - Colaborador), DIEGO ISMAEL ROCHA (DOCENTE - Colaborador), FRANCIELLY RODRIGUES GOMES (DISCENTE - Colaborador), GUSTAVO SOARES DE MORAES FERREIRA (EXTERNO - Colaborador), HILDEU FERREIRA DA ASSUNCAO (DOCENTE - Colaborador), JOÃO MIGUEL CAMARA JUSTINO (DISCENTE - Colaborador), KARMINNE DIAS DO VALLE (DISCENTE - Colaborador), KÁSSIA BARROS FERREIRA (DISCENTE - Colaborador), LAÍSSE DANIELLE PEREIRA (DISCENTE - Colaborador), LANA LAENE LIMA DIAS (DISCENTE - Colaborador), LÁSARA KAMILA FERREIRA DE SOUZA (DISCENTE - Colaborador), MARCELO MARQUES COSTA (DOCENTE - Colaborador), MIRELLY ISTTEFANY FREITAS SOUZA (DISCENTE - Colaborador), MOAB ACACIO BARBOSA (DISCENTE - Colaborador), PEDRO HENRIQUE MAGALHÃES DE SOUZA (DISCENTE - Colaborador), RICARDO CARVALHO RIBEIRO (DISCENTE - Colaborador), ROGÉRIO BORGES DE OLIVEIRA PAZ (SERVIDOR - Colaborador), SIMERIO CARLOS SILVA CRUZ (DOCENTE - Colaborador), VANESSA BRENDA SOUZA CHAVES (DISCENTE - Colaborador), VICTÓRIA AZEVEDO MONTEIRO (DISCENTE - Colaborador);EM ANDAMENTO;18/05/2018;01/05/2018 a 31/08/2025;
PI02995-2018;UNID. ACAD. ESP/MATEMATICA E TECNOLOGI;Grupos finitos, profinitos e residualmente finitos.;Ciências Exatas e da Terra - Matemática - Álgebra - Grupos de Álgebra Não-Comutaviva;Sem Vínculo (Projeto Isolado);não;não;DANILO SANCAO DA SILVEIRA (DOCENTE - Coordenador), YERKO CONTRERAS ROJAS (EXTERNO - Colaborador);EM ANDAMENTO (Documentos Conferidos);19/11/2018;19/11/2018 a 18/11/2022;
PI02232-2018;UAE REJ CIÊNCIAS HUMANAS E LETRAS;Uma outra história contada  Textos Afro-brasileiros;Lingüística, Letras e Artes - Letras - Literatura Brasileira;Sem Vínculo (Projeto Isolado);não;não;DAVIANE MOREIRA E SILVA (DOCENTE - Coordenador), NATÁLIA D'AMBROS (DISCENTE - Colaborador), VITÓRIA ELLEN OLIVEIRA DA CRUZ (DISCENTE - Colaborador);EM ANDAMENTO;08/04/2018;01/07/2018 a 01/08/2019;
PI03044-2018;UAE - DE ENGENHARIA - CATALÃO;Análise Estrutural Dinâmica de Cascas Cilíndricas por Diferentes Métodos Analíticos e Numéricos;Engenharias - Engenharia Civil - Estruturas - Mecânica das Estruturas;Com Programa de Pós-Graduação de Outra IES;não;não;ANA LARISSA DAL PIVA ARGENTA (DOCENTE - Colaborador), DAVIDSON DE OLIVEIRA FRANCA JUNIOR (DOCENTE - Coordenador), JÉSSICA FERREIRA BORGES (EXTERNO - Colaborador), LUIZ FELIPE CARNEIRO DE OLIVEIRA (DISCENTE - Colaborador), RHAYANNE RAFAELA RODRIGUES RIBEIRO (DISCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);30/11/2018;20/08/2018 a 20/12/2019;
PI02773-2018;INSTITUTO DE INFORMATICA;Estudos sobre tomada de decisão para compra e venda de ações no mercado de bolsa de valores baseados em dados de redes sociais e internet;Ciências Exatas e da Terra - Ciência da Computação - Sistemas de Computação;Sem Vínculo (Projeto Isolado);não;não;DEBORAH SILVA ALVES FERNANDES (DOCENTE - Coordenador), FABRIZZIO ALPHONSUS ALVES DE MELO NUNES SOARES (DOCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);05/07/2018;28/06/2018 a 31/12/2021;
PI03134-2018;UAE - DE ENGENHARIA - CATALÃO;LEAN SEIS SIGMA E GERENCIAMENTO DA QUALIDADE APLICADO À MANUFATURA E SERVIÇOS;Engenharias - Engenharia de Produção - Gerência de Produção - Garantia de Controle de Qualidade;Sem Vínculo (Projeto Isolado);não;não;DEIVID MARQUES NUNES (DOCENTE - Coordenador), KARINE CANUTO MARTINS (SERVIDOR - Colaborador), MAÍZA BIAZON DE OLIVEIRA (DISCENTE - Colaborador), ROGERIO SANTANA PERUCHI (EXTERNO - Vice-coodernador);EM ANDAMENTO (Documentos Conferidos);14/12/2018;03/09/2018 a 30/09/2019;
PI03573-2018;FACULDADE DE MEDICINA;Questionário de fatores ambientais na Esclerose Múltipla.;Ciências da Saúde - Medicina - Clínica Médica - Neurologia;Tipo de vínculo desconhecido;não;sim;ANDRÉ LUIZ MARTINS VAZ PERES (DISCENTE - Colaborador), DENISE SISTEROLLI DINIZ (DOCENTE - Coordenador), JOAO LUCCAS MARQUES GONZAGA (DISCENTE - Colaborador), LUCAS MAIA DA COSTA ELOY PIMENTA (DISCENTE - Vice-coodernador);PENDENTE;05/04/2019;01/01/2018 a 31/12/2020;
PV02510-2018;INSTITUTO DE ESTUDOS SOCIO-AMBIENTAIS;Os mapas nos livros didáticos de Geografia do Ensino Médio: uma análise qualitativa da linguagem cartográfica;Ciências Humanas - Geografia - Geografia Humana - Geografia Urbana;Tipo de vínculo desconhecido;não;não;DENIS RICHTER (DOCENTE - Coordenador), GABRIEL MARTINS CAVALLINI (DISCENTE - Colaborador), LARISSA BARBARA BORGES DRUMOND (SERVIDOR - Colaborador);EM ANDAMENTO (Documentos Conferidos);27/04/2018;31/07/2018 a 01/08/2020;
PI02399-2018;INSTITUTO DE INFORMATICA;Rearranjo de Genomas;Ciências Exatas e da Terra - Matemática - Matemática Aplicada - Matemática Discreta e Combinatória, Ciências Exatas e da Terra - Ciência da Computação - Teoria da Computação - Análise de Algoritmos e Complexidade de Computação;Com Programa de Pós-graduação da UFG;não;não;ANDRÉ DA CUNHA RIBEIRO (EXTERNO - Colaborador), DIANE CASTONGUAY (DOCENTE - Coordenador), JULIANA RESPLANDE SANT'ANNA GOMES (DISCENTE - Colaborador), THAYNARA ARIELLY DE LIMA (DOCENTE - Vice-coodernador), TICIANNE PROENCA BUENO ADORNO (DOCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);11/04/2018;01/04/2018 a 31/12/2020;
PI03070-2018;FACULDADE DE EDUCACAO;Impressos escolares para a infância: categorias possíveis de pesquisa (Séculos XIX-XX)  ;Ciências Humanas - Educação - Fundamentos da Educação - História da Educação;Tipo de vínculo desconhecido;não;não;ANA RAQUEL COSTA DIAS (EXTERNO - Colaborador), DIANE VALDEZ (DOCENTE - Coordenador);ALTERADO;04/12/2018;03/12/2018 a 22/12/2022;
PI02385-2018;UNID. ACAD. ESP/CIENCIAS BIOLOGICAS-JA;ESTUDO RETROSPECTIVO DE NEOPLASIAS EM ANIMAIS DE COMPANHIA DIAGNOSTICADAS POR CITOPATOLOGIA E HISTOPATOLOGIA;Ciências Agrárias - Medicina Veterinária - Patologia Animal - Anatomia Patologia Animal;Sem Vínculo (Projeto Isolado);não;não;DIDIER QUEVEDO CAGNINI (DOCENTE - Coordenador), FABRÍZIO GRANDI (EXTERNO - Colaborador), GRACE LIE HAMADA (DISCENTE - Colaborador), GUILHERME SASTRE DE SOUZA (DISCENTE - Colaborador), KAMILLA ANTÔNIA MORAES DUTRA (DISCENTE - Colaborador), RAIANNE RIBEIRO SILVA LOPES (DISCENTE - Colaborador);EM ANDAMENTO;10/04/2018;04/04/2018 a 30/09/2020;
PI02630-2018;UAE REJ CIÊNCIAS SOCIAIS APLICADAS;Direitos humanos e movimentos sociais no Sudoeste Goiano - Ano 2;Ciências Sociais Aplicadas - Direito - Teoria do Direito - Sociologia Jurídica;Sem Vínculo (Projeto Isolado);não;não;DANIELA SILVA AMARAL (DISCENTE - Colaborador), DIEGO AUGUSTO DIEHL (DOCENTE - Coordenador), LAYSA STEFANY FERREIRA MELO (DISCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);29/04/2018;01/08/2018 a 31/07/2019;
PI02675-2018;FACULDADE DE LETRAS;QUALIDADE NA TRADUÇÃO E INTERPRETAÇÃO: LÍNGUA BRASILEIRA DE SINAIS  LÍNGUA PORTUGUESA;Lingüística, Letras e Artes - Lingüística - Lingüística Aplicada;Com Programa de Pós-Graduação de Outra IES;não;não;ANA VICTÓRIA DA SILVA DOMINGOS CARLOS (EXTERNO - Colaborador), DIEGO MAURICIO BARBOSA (DOCENTE - Coordenador), JORLAN QUEIROZ DE JESUS (DISCENTE - Colaborador), MARIA CAROLINA DA SILVA ROCHA (EXTERNO - Colaborador), MILENA ALVES PEREIRA (DISCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);02/05/2018;01/08/2018 a 31/07/2023;
PI02705-2018;FACULDADE DE LETRAS;A compreensão dos fluxos linguístico-culturais de textos literários canônicos e não canônicos: uma visão intercultural crítica;Lingüística, Letras e Artes - Lingüística - Lingüística Aplicada;Com Programa de Pós-graduação da UFG;não;não;CRISTIANO MONTEIRO RAMOS (EXTERNO - Colaborador), DANILO NEVES PEREIRA (DOCENTE - Colaborador), DIEGO GOMES MACHADO (EXTERNO - Colaborador), DILYS KAREN REES (DOCENTE - Coordenador), FABRÍCIA PEREIRA MATOS (DISCENTE - Colaborador), LAYSSA GABRIELA ALMEIDA E SILVA MELLO (DOCENTE - Colaborador), LETICIA NOGUEIRA ALLEM (EXTERNO - Colaborador), NATALIA DIAS DE AQUINO (EXTERNO - Colaborador);EM ANDAMENTO (Documentos Conferidos);10/07/2018;14/05/2018 a 15/05/2023;
PI02396-2018;UAE REJ CIÊNCIAS HUMANAS E LETRAS;ENTENDER AUTISMO:  CAPACITAÇÃO DE EDUCADORES PARA ATUAÇÃO NO DESENVOLVIMENTO SOCIOEDUCACIONAL (MANEJO COMPORTAMENTAL) DE CRIANÇAS COM TEA EM AMBIENTE ESCOLAR  ;Ciências Humanas - Educação - Tópicos Específicos de Educação - Educação Especial;Tipo de vínculo desconhecido;não;não;ADRIANA DE AZEVEDO GONCALVES (DISCENTE - Colaborador), ANA CLARA SOARES DA SILVA (DISCENTE - Colaborador), ANDRÉIA LOUREIRO DA SILVA (DISCENTE - Colaborador), CLEBER ROSA DA SILVA (DISCENTE - Colaborador), DIOVANA FERREIRA DE OLIVEIRA THIAGO (DOCENTE - Coordenador), DOANE SOUZA SANTOS (DISCENTE - Colaborador), GEOVANNA ASSIS SILVA (DISCENTE - Colaborador), ISABEL ZAHAVA DA COSTA SILVA (DISCENTE - Colaborador), JÉSSICA LEAL BORGES ALVES (EXTERNO - Colaborador), LUIS ALBERTO CABRAL SALES (DISCENTE - Colaborador), SARAH ROCHA DE MACEDO ALVES (DISCENTE - Colaborador), SARAH SENA CORDEIRO DE MORAIS (DISCENTE - Colaborador), STÉFANE BARROS DA COSTA (DISCENTE - Colaborador), VALQUÍRIA RAMOS DE JESUS RESENDE (EXTERNO - Colaborador);EM ANDAMENTO (Documentos Conferidos);11/04/2018;16/04/2018 a 30/06/2021;
PI02574-2018;UNID. ACAD. ESP/FISICA - CATALAO;Simulação computacional de materiais cristalinos;Ciências Exatas e da Terra - Física - Física da Matéria Condensada - Propriedades Mecânicas e Acústicas da Matéria Condensada, Ciências Exatas e da Terra - Física - Física da Matéria Condensada - Dinâmica da Rede e Estatística de Cristais, Ciências Exatas e da Terra - Física - Física da Matéria Condensada - Propriedades Térmicas da Matéria Condensada;Sem Vínculo (Projeto Isolado);não;não;APOLLO DA SILVA LEMOS (DISCENTE - Colaborador), DOMINGOS LOPES DA SILVA JUNIOR (DOCENTE - Coordenador), MAURICE DE KONING (EXTERNO - Colaborador);EM ANDAMENTO (Documentos Conferidos);26/04/2018;23/04/2018 a 30/12/2022;
;UNID. ACAD. ESP/CIENCIAS AGRARIAS-JATA;AVALIAÇÃO DE DOIS PROTOCOLOS DE ANESTESIA TOTAL INTRAVENOSA PARA ANALGESIA MULTIMODAL EM CADELAS SUBMETIDAS A OVÁRIO-SALPINGO-HISTERECTOMIA ELETIVA;Ciências Agrárias - Medicina Veterinária - Clínica e Cirurgia Animal - Anestesiologia Animal;Sem Vínculo (Projeto Isolado);não;sim;ANDREIA VITOR COUTO DO AMARAL (DOCENTE - Colaborador), DOUGHLAS REGALIN (DOCENTE - Coordenador), HELLEN CHAVES BARBOSA (SERVIDOR - Colaborador), JÉSSICA BUENO GUIMARÃES (DISCENTE - Colaborador), LETÍCIA SOUSA PRADO (EXTERNO - Colaborador), LUIZ ANTONIO DE JESUS SOUSA (EXTERNO - Colaborador), RAFAELA BARCELOS BARBOSA PINTO (DISCENTE - Colaborador);EXCLUÍDO;29/01/2019;03/09/2018 a 29/11/2019;
PI03222-2018;UNID. ACAD. ESP/CIENCIAS AGRARIAS-JATA;AVALIAÇÃO DE DOIS PROTOCOLOS DE ANESTESIA TOTAL INTRAVENOSA PARA ANALGESIA MULTIMODAL EM CADELAS SUBMETIDAS A OVÁRIO-SALPINGO-HISTERECTOMIA ELETIVA;Ciências Agrárias - Medicina Veterinária - Clínica e Cirurgia Animal - Anestesiologia Animal;Sem Vínculo (Projeto Isolado);não;sim;ANDREIA VITOR COUTO DO AMARAL (DOCENTE - Colaborador), DOUGHLAS REGALIN (DOCENTE - Coordenador), HELLEN CHAVES BARBOSA (SERVIDOR - Colaborador), JÉSSICA BUENO GUIMARÃES (DISCENTE - Colaborador), LETÍCIA SOUSA PRADO (EXTERNO - Colaborador), LUIZ ANTONIO DE JESUS SOUSA (EXTERNO - Colaborador), RAFAELA BARCELOS BARBOSA PINTO (DISCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);29/01/2019;03/09/2018 a 31/12/2019;
PI02357-2018;FACULDADE DE INFORMAÇÃO E COMUNICAÇÃO;Potencialidades do Deep Learning na Ciência da Informação;Ciências Exatas e da Terra - Ciência da Computação, Ciências Sociais Aplicadas - Ciência da Informação;Sem Vínculo (Projeto Isolado);não;não;DOUGLAS FARIAS CORDEIRO (DOCENTE - Coordenador), ISADORA CAMPOS VAZ (DISCENTE - Colaborador), KATIA KELVIS CASSIANO (DOCENTE - Colaborador), NUBIA ROSA DA SILVA (DOCENTE - Colaborador), RENATA MOREIRA LIMIRO (DISCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);05/04/2018;05/04/2018 a 31/12/2020;
PI02319-2018;UAE - DE ENGENHARIA - CATALÃO;CONFORTO TÉRMICO E EFICIÊNCIA ENERGÉTICA EM EDIFICAÇÕES;Engenharias - Engenharia Civil - Construção Civil - Processos Construtivos;Tipo de vínculo desconhecido;não;não;ANTOVER PANAZZOLO SARMENTO (DOCENTE - Colaborador), ED CARLO ROSA PAIVA (DOCENTE - Coordenador), HEBER MARTINS DE PAULA (DOCENTE - Colaborador), SILVIA PARREIRA TANNUS (DOCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);27/03/2018;05/02/2018 a 31/12/2021;
PI02412-2018;FACULDADE DE FARMACIA;TRATAMENTO DO EFLUENTE DE INDÚSTRIAS DE COSMÉTICOS UTILIZANDO DERIVADOS DA SEMENTE DA Moringa oleifera Lam.;Ciências da Saúde - Farmácia;Com Programa de Pós-graduação da UFG;não;não;EDEMILSON CARDOSO DA CONCEICAO (DOCENTE - Coordenador), HUMBERTO CARLOS RUGGERI JUNIOR (DOCENTE - Vice-coodernador), JOSE REALINO DE PAULA (DOCENTE - Colaborador), LIANDO GHENDALLE GOMES JUNIOR (DISCENTE - Colaborador), LÍVIA PEREIRA GOMES MILANI (DISCENTE - Colaborador), NATHALIA SANTOS ARAÚJO (DISCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);10/07/2018;16/04/2018 a 16/04/2020;
PI02506-2018;FACULDADE DE ARTES VISUAIS;CIBERARTE, TRANSMÍDIA E PROCESSOS DE CRIAÇÃO;Lingüística, Letras e Artes - Artes - Artes Plásticas - Desenho;Com Programa de Pós-graduação da UFG;não;não;ALYSSON PLÍNIO ESTEVO (DISCENTE - Colaborador), EDGAR SILVEIRA FRANCO (DOCENTE - Coordenador), GUILHERME LIMA BRUNO E SILVEIRA (DISCENTE - Colaborador), LÉO PIMENTEL SOUTO (DISCENTE - Colaborador), LÍGIA MARIA DE CARVALHO (DISCENTE - Colaborador), LUIZ CARLOS FERREIRA DA SILVA (DISCENTE - Colaborador), MARCIO MARIO DA PAIXAO JUNIOR (DISCENTE - Colaborador), MATHEUS MOURA SILVA (DISCENTE - Colaborador), ROSA MARIA BERARDO (DOCENTE - Colaborador);EM ANDAMENTO (Documentos Conferidos);24/04/2018;25/04/2018 a 25/04/2022;
PI02160-2018;UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATA;O impacto da exposição a agrotóxicos na saúde dos trabalhadores rurais no sudoeste goiano;Ciências da Saúde - Saúde Coletiva - Epidemiologia, Ciências da Saúde - Saúde Coletiva - Saúde Pública;Com Grupo de Pesquisa;não;sim;ALINE BESSA PARMIGIANI MONTEIRO (EXTERNO - Colaborador), ALINE MONEZI MONTEL (SERVIDOR - Colaborador), ANDREIA CRISTINA ROSA (DISCENTE - Colaborador), ARTHUR BORGES LACERDA ALENCAR (DISCENTE - Colaborador), BETINA BEATRIZ DE OLIVEIRA (DISCENTE - Colaborador), CAIO FERNANDO DE OLIVEIRA PEREIRA PASSOS (DISCENTE - Colaborador), CARLA MORAIS GUIMARAES (DISCENTE - Colaborador), CARLA SILVA SIQUEIRA MIRANDA (DOCENTE - Colaborador), CAROLINA MÁXIMO VIEIRA (DISCENTE - Colaborador), CLAUDIO TEODORO PEIXOTO FRANCO (DISCENTE - Colaborador), CRISTIAN JUNIOR DA COSTA (DISCENTE - Colaborador), DANILO ALVIN DE PAIVA GONCALVES FILHO (DISCENTE - Colaborador), EDLAINE FARIA DE MOURA VILLELA (DOCENTE - Coordenador), FABIO MORATO DE OLIVEIRA (DOCENTE - Vice-coodernador), FERNANDO EUGENIO RIBEIRO (DISCENTE - Colaborador), GIOVANA ROCHA QUEIROZ (DISCENTE - Colaborador), HELLEN MIRANDA CAMPOS (DISCENTE - Colaborador), KALINY XAVIER DA GUARDA (EXTERNO - Colaborador), KAMILA KRONIT BASTOS (DISCENTE - Colaborador), LUCAS AUGUSTO RODRIGUES SANTANA (DISCENTE - Colaborador), LUCAS GRACIANO BUENO (DISCENTE - Colaborador), LUDIMILA PAULA VAZ CARDOSO (DOCENTE - Colaborador), LUÍS HENRIQUE DA SILVA LIMA (DISCENTE - Colaborador), MARCELLA FABRYZE ALVES DE QUEIROZ E SILVA (DISCENTE - Colaborador), MARCELO LUIZ MAUAD JUNIOR (DISCENTE - Colaborador), MARCIA CAROLINA MAZZARO (DOCENTE - Colaborador), MARÍLIA ASSUNÇÃO JORGE (DISCENTE - Colaborador), PEDRO PAULO DIAS DE SA (DISCENTE - Colaborador), RAÍSA MENDIS PEREIRA (DISCENTE - Colaborador), SABRINA TOFFOLI LEITE (DOCENTE - Colaborador), TAMARA RODRIGUES LIMA ZANUZZI (EXTERNO - Colaborador), THAMARA OLIVEIRA COSTA (DISCENTE - Colaborador), TRACY MARTINA MARQUES MARTINS (SERVIDOR - Colaborador), VICTOR JORGE SALES LOPES CÂNDIDO RIBEIRO (DISCENTE - Colaborador), WALLACE ANTUNES DAMÁSIO DO NASCIMENTO (DISCENTE - Colaborador), WANDERSON SANT ANA DE ALMEIDA (DISCENTE - Colaborador);EM ANDAMENTO;23/01/2018;01/01/2018 a 31/12/2020;
PV02764-2018;UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATA;Avaliação longitudinal das habilidades cognitivas de estudantes de Medicina com ênfase na qualidade dos exames e no progresso da aprendizagem;Ciências da Saúde - Medicina - Clínica Médica;Com Grupo de Pesquisa;não;sim;EDLAINE FARIA DE MOURA VILLELA (DOCENTE - Coordenador), VALDES ROBERTO BOLLELA (EXTERNO - Vice-coodernador);EM ANDAMENTO (Documentos Conferidos);03/07/2018;02/07/2018 a 01/07/2020;
PI03065-2018;ESCOLA DE VETERINARIA E ZOOTECNIA;Desenvolvimento de sorvete funcional saborizado com polpa de cagaita (Eugenia dysenterica);Ciências Agrárias - Medicina Veterinária - Inspeção de Produtos de Origem Animal;Tipo de vínculo desconhecido;não;não;AMANDA FERREIRA CRUZ (DISCENTE - Colaborador), CINTIA SILVA MINAFRA E REZENDE (DOCENTE - Colaborador), CLARICE GEBARA MURARO SERRATE CORDEIRO TENORIO (DOCENTE - Vice-coodernador), CLAUDIO FERNANDES CARDOSO (DOCENTE - Colaborador), EDMAR SOARES NICOLAU (DOCENTE - Coordenador), KARLA BIANCA DA SILVA PEREIRA (DISCENTE - Colaborador), KATHERYN MERZ (DISCENTE - Colaborador), LOHANNE FRANCIELE DAMASCENO MARTINS (DISCENTE - Colaborador), LO RUAMA SOARES DA SILVA (DISCENTE - Colaborador), MARIANA RODRIGUES ROCHA (DISCENTE - Colaborador), RENATA TEIXEIRA PFRIMER (DISCENTE - Colaborador), RUTHELE MORAES DO CARMO (DISCENTE - Colaborador), THAMARA VENÂNCIO DE ALMEIDA (DISCENTE - Colaborador), VALESSA TEIXEIRA BARBOSA (DISCENTE - Colaborador);ALTERADO;03/12/2018;01/02/2018 a 30/01/2022;
